TEAM,ELITE SOS,YEAR
Kansas,39.0,2019
Michigan St.,39.0,2019
Duke,38.0,2019
Oklahoma St.,37.0,2019
Wisconsin,37.0,2019
Purdue,37.0,2019
Oklahoma,37.0,2019
North Carolina,37.0,2019
Minnesota,36.0,2019
Virginia,36.0,2019
Florida,36.0,2019
Louisville,35.0,2019
Nebraska,35.0,2019
Ohio St.,35.0,2019
Auburn,35.0,2019
Penn St.,35.0,2019
Kentucky,35.0,2019
West Virginia,35.0,2019
Texas Tech,35.0,2019
Texas,34.0,2019
Illinois,34.0,2019
Baylor,34.0,2019
Michigan,34.0,2019
Maryland,34.0,2019
Indiana,34.0,2019
Tennessee,34.0,2019
Iowa,33.0,2019
Iowa St.,33.0,2019
Florida St.,33.0,2019
South Carolina,33.0,2019
Vanderbilt,32.0,2019
Alabama,32.0,2019
Kansas St.,32.0,2019
Missouri,32.0,2019
Rutgers,32.0,2019
Mississippi St.,32.0,2019
LSU,32.0,2019
Georgia Tech,32.0,2019
Texas A&M,32.0,2019
Virginia Tech,31.0,2019
Georgia,31.0,2019
Miami FL,31.0,2019
Wake Forest,31.0,2019
Notre Dame,31.0,2019
TCU,31.0,2019
Syracuse,31.0,2019
Northwestern,31.0,2019
Arkansas,30.0,2019
Mississippi,29.0,2019
Clemson,29.0,2019
N.C. State,29.0,2019
Pittsburgh,28.0,2019
Boston College,28.0,2019
Seton Hall,27.0,2019
Villanova,27.0,2019
Xavier,26.0,2019
Butler,26.0,2019
Creighton,26.0,2019
Wichita St.,26.0,2019
Memphis,25.0,2019
Cincinnati,25.0,2019
Washington,25.0,2019
UCF,25.0,2019
Marquette,24.0,2019
Providence,24.0,2019
Connecticut,24.0,2019
Temple,24.0,2019
Gonzaga,24.0,2019
Arizona,24.0,2019
Oregon,24.0,2019
SMU,23.0,2019
Stanford,23.0,2019
Tulsa,23.0,2019
Houston,23.0,2019
St. John's,23.0,2019
Saint Mary's,23.0,2019
UCLA,23.0,2019
BYU,22.0,2019
Georgetown,22.0,2019
Arizona St.,22.0,2019
San Diego,22.0,2019
Utah,22.0,2019
Tulane,22.0,2019
USC,21.0,2019
California,21.0,2019
DePaul,20.0,2019
North Florida,20.0,2019
Eastern Michigan,20.0,2019
Dayton,20.0,2019
East Carolina,20.0,2019
Oregon St.,20.0,2019
Western Michigan,19.0,2019
Harvard,19.0,2019
Wofford,19.0,2019
Pacific,19.0,2019
Washington St.,19.0,2019
Saint Louis,19.0,2019
VCU,18.0,2019
Buffalo,18.0,2019
Ohio,18.0,2019
San Diego St.,18.0,2019
UT Arlington,18.0,2019
Santa Clara,18.0,2019
South Florida,18.0,2019
Western Carolina,18.0,2019
VMI,18.0,2019
Ball St.,18.0,2019
George Washington,18.0,2019
Colorado,17.0,2019
Lipscomb,17.0,2019
Pepperdine,17.0,2019
Mercer,17.0,2019
Miami OH,17.0,2019
Saint Joseph's,17.0,2019
George Mason,17.0,2019
San Francisco,17.0,2019
Davidson,17.0,2019
Georgia St.,17.0,2019
Chicago St.,17.0,2019
La Salle,17.0,2019
Utah St.,17.0,2019
The Citadel,17.0,2019
Rhode Island,17.0,2019
Detroit Mercy,17.0,2019
Boise St.,16.0,2019
Western Kentucky,16.0,2019
Akron,16.0,2019
Nevada,16.0,2019
New Mexico,16.0,2019
Middle Tennessee,16.0,2019
Chattanooga,16.0,2019
UNC Greensboro,16.0,2019
Tennessee Tech,16.0,2019
Northern Illinois,16.0,2019
Loyola Marymount,16.0,2019
North Alabama,16.0,2019
Coppin St.,16.0,2019
Tennessee St.,16.0,2019
Louisiana Monroe,16.0,2019
Air Force,16.0,2019
Kennesaw St.,16.0,2019
Princeton,16.0,2019
Northeastern,16.0,2019
Yale,16.0,2019
Grand Canyon,16.0,2019
Kent St.,15.0,2019
UMKC,15.0,2019
Green Bay,15.0,2019
Bowling Green,15.0,2019
East Tennessee St.,15.0,2019
UT Rio Grande Valley,15.0,2019
Samford,15.0,2019
North Dakota St.,15.0,2019
Belmont,15.0,2019
Eastern Kentucky,15.0,2019
Portland,15.0,2019
Massachusetts,15.0,2019
Morehead St.,15.0,2019
Cal St. Fullerton,15.0,2019
Florida Gulf Coast,15.0,2019
St. Bonaventure,15.0,2019
Fresno St.,15.0,2019
Toledo,15.0,2019
Appalachian St.,15.0,2019
Penn,15.0,2019
Colorado St.,15.0,2019
San Jose St.,15.0,2019
Marshall,14.0,2019
Southern Illinois,14.0,2019
Stetson,14.0,2019
Central Michigan,14.0,2019
Furman,14.0,2019
Georgia Southern,14.0,2019
Long Beach St.,14.0,2019
Texas Southern,14.0,2019
Cornell,14.0,2019
Louisiana,14.0,2019
Denver,14.0,2019
