TEAM,YEAR,EXP,AVG HGT,EFF HGT,roster_size
Air Force,2004,,,,
Alabama,2004,,,,
Alabama St.,2004,,,,
Arizona,2004,,,,
BYU,2004,,,,
Boston College,2004,,,,
Charlotte,2004,,,,
Cincinnati,2004,,,,
Connecticut,2004,,,,
Dayton,2004,,,,
DePaul,2004,,,,
Duke,2004,,,,
East Tennessee St.,2004,,,,
Eastern Washington,2004,,,,
Florida,2004,,,,
Florida A&M,2004,,,,
Georgia Tech,2004,,,,
Gonzaga,2004,,,,
Illinois,2004,,,,
Illinois Chicago,2004,,,,
Kansas,2004,,,,
Kentucky,2004,,,,
Lehigh,2004,,,,
Liberty,2004,,,,
Louisiana Lafayette,2004,,,,
Louisville,2004,,,,
Manhattan,2004,,,,
Maryland,2004,,,,
Memphis,2004,,,,
Michigan St.,2004,,,,
Mississippi St.,2004,,,,
Monmouth,2004,,,,
Murray St.,2004,,,,
N.C. State,2004,,,,
Nevada,2004,1.636,77.9,81.0,
North Carolina,2004,,,,
Northern Iowa,2004,,,,
Oklahoma St.,2004,,,,
Pacific,2004,,,,
Pittsburgh,2004,,,,
Princeton,2004,,,,
Providence,2004,,,,
Richmond,2004,,,,
Saint Joseph's,2004,,,,
Seton Hall,2004,,,,
South Carolina,2004,,,,
Southern Illinois,2004,,,,
Stanford,2004,,,,
Syracuse,2004,,,,
Texas,2004,,,,
Texas Tech,2004,,,,
UAB,2004,,,,
UCF,2004,,,,
UTEP,2004,,,,
UTSA,2004,,,,
Utah,2004,,,,
VCU,2004,,,,
Valparaiso,2004,,,,
Vanderbilt,2004,,,,
Vermont,2004,,,,
Wake Forest,2004,,,,
Washington,2004,,,,
Western Michigan,2004,,,,
Wisconsin,2004,,,,
Xavier,2004,,,,
Akron,2004,,,,
Alabama A&M,2004,,,,
Albany,2004,,,,
Alcorn St.,2004,,,,
American,2004,,,,
Appalachian St.,2004,,,,
Arizona St.,2004,,,,
Arkansas,2004,,,,
Arkansas Little Rock,2004,,,,
Arkansas Pine Bluff,2004,,,,
Arkansas St.,2004,,,,
Army,2004,,,,
Auburn,2004,,,,
Austin Peay,2004,,,,
Ball St.,2004,,,,
Baylor,2004,,,,
Belmont,2004,,,,
Bethune Cookman,2004,,,,
Binghamton,2004,,,,
Birmingham Southern,2004,,,,
Boise St.,2004,,,,
Boston University,2004,,,,
Bowling Green,2004,,,,
Bradley,2004,,,,
Brown,2004,,,,
Bucknell,2004,1.533,77.5,80.5,15.0
Buffalo,2004,,,,
Butler,2004,,,,
Cal Poly,2004,,,,
Cal St. Fullerton,2004,,,,
Cal St. Northridge,2004,,,,
California,2004,,,,
Campbell,2004,,,,
Canisius,2004,,,,
Centenary,2004,,,,
Central Connecticut,2004,,,,
Central Michigan,2004,,,,
Charleston Southern,2004,,,,
Chattanooga,2004,,,,
Chicago St.,2004,,,,
Clemson,2004,,,,
Cleveland St.,2004,1.308,77.2,81.7,13.0
Coastal Carolina,2004,1.933,76.7,80.0,15.0
