TEAM,YEAR,EXP,AVG HGT,EFF HGT
Air Force,2005,,,
Akron,2005,,,
Alabama,2005,,,
Alabama A&M,2005,,,
Alabama St.,2005,,,
Albany,2005,,,
Alcorn St.,2005,,,
American,2005,,,
Appalachian St.,2005,,,
Arizona,2005,,,
Arizona St.,2005,,,
Arkansas,2005,,,
Arkansas Little Rock,2005,,,
Arkansas Pine Bluff,2005,,,
Arkansas St.,2005,,,
Army,2005,,,
Auburn,2005,,,
Austin Peay,2005,,,
BYU,2005,,,
Baylor,2005,,,
Ball St.,2005,,,
Belmont,2005,,,
Bethune Cookman,2005,,,
Binghamton,2005,,,
Birmingham Southern,2005,,,
Boise St.,2005,,,
Boston College,2005,,,
Bowling Green,2005,,,
Brown,2005,,,
Bucknell,2005,,,
Buffalo,2005,,,
Cal Poly,2005,,,
Cal St. Fullerton,2005,,,
Cal St. Northridge,2005,,,
California,2005,,,
Campbell,2005,,,
Canisius,2005,,,
Centenary,2005,,,
Central Connecticut,2005,,,
Central Michigan,2005,,,
Charleston Southern,2005,,,
Charlotte,2005,,,
Chattanooga,2005,,,
Chicago St.,2005,,,
Cincinnati,2005,,,
Clemson,2005,,,
Cleveland St.,2005,,,
Coastal Carolina,2005,,,
Colgate,2005,,,
College of Charleston,2005,,,
Colorado,2005,,,
Colorado St.,2005,,,
Columbia,2005,,,
Connecticut,2005,,,
Coppin St.,2005,,,
Cornell,2005,,,
Creighton,2005,,,
Dartmouth,2005,,,
Davidson,2005,,,
Dayton,2005,,,
DePaul,2005,,,
Delaware,2005,,,
Delaware St.,2005,,,
Denver,2005,,,
Detroit,2005,,,
Drake,2005,,,
Drexel,2005,,,
Duquesne,2005,,,
East Carolina,2005,,,
Eastern Illinois,2005,,,
Eastern Michigan,2005,,,
Eastern Washington,2005,,,
Elon,2005,,,
Evansville,2005,,,
FIU,2005,,,
Fairfield,2005,,,
Fairleigh Dickinson,2005,,,
Florida,2005,,,
Florida A&M,2005,,,
Florida Atlantic,2005,,,
Florida St.,2005,,,
Fordham,2005,,,
Fresno St.,2005,,,
Furman,2005,,,
Gardner Webb,2005,,,
George Mason,2005,,,
George Washington,2005,,,
Georgetown,2005,,,
Georgia,2005,,,
Georgia Southern,2005,,,
Georgia St.,2005,,,
Georgia Tech,2005,,,
Gonzaga,2005,,,
Grambling St.,2005,,,
Green Bay,2005,,,
Hampton,2005,,,
Hartford,2005,,,
Harvard,2005,,,
Hawaii,2005,,,
High Point,2005,,,
Hofstra,2005,,,
Holy Cross,2005,,,
Houston,2005,,,
Howard,2005,,,
IPFW,2005,,,
IUPUI,2005,,,
Idaho St.,2005,,,
Illinois,2005,,,
Illinois Chicago,2005,,,
Indiana St.,2005,,,
Iona,2005,,,
Iowa,2005,,,
Iowa St.,2005,,,
Jackson St.,2005,,,
Jacksonville,2005,,,
Jacksonville St.,2005,,,
James Madison,2005,,,
Kansas,2005,,,
Kansas St.,2005,,,
Kent St.,2005,,,
Kentucky,2005,,,
LIU Brooklyn,2005,,,
LSU,2005,,,
La Salle,2005,,,
Lafayette,2005,,,
Lamar,2005,,,
Lehigh,2005,,,
Liberty,2005,,,
Lipscomb,2005,,,
Long Beach St.,2005,,,
Longwood,2005,,,
Louisiana Lafayette,2005,,,
Louisiana Monroe,2005,,,
Louisiana Tech,2005,,,
Louisville,2005,,,
Loyola Chicago,2005,,,
Loyola MD,2005,,,
Loyola Marymount,2005,,,
Maine,2005,,,
Manhattan,2005,,,
Marist,2005,,,
Marquette,2005,,,
Marshall,2005,,,
Maryland,2005,,,
Maryland Eastern Shore,2005,,,
McNeese St.,2005,,,
Memphis,2005,,,
Mercer,2005,,,
Michigan,2005,,,
Michigan St.,2005,,,
Middle Tennessee,2005,,,
Milwaukee,2005,,,
Minnesota,2005,,,
Mississippi,2005,,,
Mississippi St.,2005,,,
Mississippi Valley St.,2005,,,
Missouri,2005,,,
Monmouth,2005,,,
Montana,2005,,,
Montana St.,2005,,,
Morehead St.,2005,,,
Morgan St.,2005,,,
Mount St. Mary's,2005,,,
Murray St.,2005,,,
N.C. State,2005,,,
Navy,2005,,,
Nebraska,2005,,,
Nevada,2005,,,
New Hampshire,2005,,,
New Mexico,2005,,,
New Mexico St.,2005,,,
New Orleans,2005,,,
Niagara,2005,,,
Nicholls St.,2005,,,
Norfolk St.,2005,,,
North Carolina,2005,,,
North Carolina A&T,2005,,,
North Texas,2005,,,
Northeastern,2005,,,
Northern Arizona,2005,,,
Northern Colorado,2005,,,
Northern Illinois,2005,,,
Northern Iowa,2005,,,
Northwestern,2005,,,
Notre Dame,2005,,,
Oakland,2005,,,
Ohio,2005,,,
Oklahoma,2005,,,
Old Dominion,2005,,,
Oral Roberts,2005,,,
Oregon,2005,,,
Oregon St.,2005,,,
Pacific,2005,,,
Penn,2005,,,
Penn St.,2005,,,
Pepperdine,2005,,,
Pittsburgh,2005,,,
Portland,2005,,,
Portland St.,2005,,,
Prairie View A&M,2005,,,
Princeton,2005,,,
Providence,2005,,,
Purdue,2005,,,
Quinnipiac,2005,,,
Radford,2005,,,
Rhode Island,2005,,,
Rice,2005,,,
Richmond,2005,,,
Rider,2005,,,
Robert Morris,2005,,,
Rutgers,2005,,,
SMU,2005,,,
Sacramento St.,2005,,,
Sacred Heart,2005,,,
Saint Joseph's,2005,,,
Saint Louis,2005,,,
Saint Mary's,2005,,,
Saint Peter's,2005,,,
Sam Houston St.,2005,,,
Samford,2005,,,
San Diego,2005,,,
San Diego St.,2005,,,
San Francisco,2005,,,
San Jose St.,2005,,,
Savannah St.,2005,,,
Seton Hall,2005,,,
South Alabama,2005,,,
South Carolina,2005,,,
South Florida,2005,,,
Southeast Missouri St.,2005,,,
Southeastern Louisiana,2005,,,
Southern,2005,,,
Southern Illinois,2005,,,
Southern Miss,2005,,,
Southern Utah,2005,,,
Southwest Missouri St.,2005,,,
St. Bonaventure,2005,,,
St. Francis NY,2005,,,
St. Francis PA,2005,,,
St. John's,2005,,,
Stanford,2005,,,
Stephen F. Austin,2005,,,
Stetson,2005,,,
Stony Brook,2005,,,
Syracuse,2005,,,
TCU,2005,,,
Temple,2005,,,
Tennessee,2005,,,
Tennessee Martin,2005,,,
Tennessee St.,2005,,,
Tennessee Tech,2005,,,
Texas,2005,,,
Texas A&M,2005,,,
Texas A&M Corpus Chris,2005,,,
Texas Pan American,2005,,,
Texas Southern,2005,,,
Texas St.,2005,,,
Texas Tech,2005,,,
The Citadel,2005,,,
Toledo,2005,,,
Towson,2005,,,
Troy,2005,,,
Tulane,2005,,,
Tulsa,2005,,,
UC Davis,2005,,,
UC Riverside,2005,,,
UC Santa Barbara,2005,,,
UCF,2005,,,
UMBC,2005,,,
UMKC,2005,,,
UNC Asheville,2005,,,
UNC Greensboro,2005,,,
UNC Wilmington,2005,,,
UNLV,2005,,,
USC,2005,,,
UT Arlington,2005,,,
UTEP,2005,,,
UTSA,2005,,,
Utah,2005,,,
Utah St.,2005,,,
Utah Valley St.,2005,,,
VCU,2005,,,
VMI,2005,,,
Valparaiso,2005,,,
Vanderbilt,2005,,,
Vermont,2005,,,
Villanova,2005,,,
Virginia,2005,,,
Virginia Tech,2005,,,
Wagner,2005,,,
Wake Forest,2005,,,
Washington,2005,,,
Washington St.,2005,,,
Weber St.,2005,,,
West Virginia,2005,,,
Western Carolina,2005,,,
Western Illinois,2005,,,
Western Kentucky,2005,,,
Western Michigan,2005,,,
Wichita St.,2005,,,
William & Mary,2005,,,
Winthrop,2005,,,
Wisconsin,2005,,,
Wofford,2005,,,
Wyoming,2005,,,
Xavier,2005,,,
Youngstown St.,2005,,,
Boston University,2005,,,
Bradley,2005,,,
Butler,2005,,,
East Tennessee St.,2005,,,
Eastern Kentucky,2005,,,
Illinois St.,2005,,,
Indiana,2005,,,
Miami FL,2005,,,
Miami OH,2005,,,
Northwestern St.,2005,,,
Ohio St.,2005,,,
Oklahoma St.,2005,,,
Siena,2005,,,
Santa Clara,2005,,,
South Carolina St.,2005,,,
UAB,2005,,,
UC Irvine,2005,,,
UCLA,2005,,,
Wright St.,2005,,,
Yale,2005,,,
Duke,2005,,,
Idaho,2005,,,
Massachusetts,2005,,,
