TEAM,YEAR,EXP,AVG HGT,EFF HGT,roster_size
Air Force,2002,1.154,76.1,79.0,13.0
Akron,2002,0.933,77.4,80.8,15.0
Alabama,2002,1.273,76.3,79.6,11.0
Alabama A&M,2002,1.625,75.4,78.3,16.0
Alabama St.,2002,1.4,76.1,80.0,15.0
Albany,2002,1.4,76.0,79.3,15.0
Alcorn St.,2002,1.786,76.9,80.0,14.0
American,2002,1.6,75.4,79.3,15.0
Appalachian St.,2002,1.667,74.5,78.5,15.0
Arizona,2002,0.786,77.0,81.0,14.0
Arizona St.,2002,1.75,77.4,81.0,16.0
Arkansas,2002,1.667,76.8,80.0,15.0
Arkansas Little Rock,2002,1.143,77.1,80.0,14.0
Arkansas Pine Bluff,2002,1.368,75.5,78.4,19.0
Arkansas St.,2002,1.692,76.5,80.5,13.0
Army,2002,1.867,76.0,79.0,15.0
Auburn,2002,1.467,77.1,80.0,15.0
Austin Peay,2002,1.308,76.7,79.7,13.0
BYU,2002,1.0,78.2,81.7,13.0
Ball St.,2002,1.615,77.0,80.5,13.0
Baylor,2002,1.571,77.5,81.2,14.0
Belmont,2002,1.083,76.2,79.4,12.0
Bethune Cookman,2002,1.467,75.9,79.5,15.0
Binghamton,2002,1.615,76.2,79.7,13.0
Birmingham Southern,2002,1.385,76.9,80.2,13.0
Boise St.,2002,1.615,77.0,80.5,13.0
Boston College,2002,1.25,77.4,81.6,12.0
Boston University,2002,1.643,77.1,80.0,14.0
Bowling Green,2002,1.462,76.7,80.0,13.0
Bradley,2002,1.0,77.5,80.8,12.0
Brown,2002,1.312,77.4,79.7,16.0
Bucknell,2002,1.438,77.0,79.4,16.0
Buffalo,2002,1.75,76.5,79.7,16.0
Butler,2002,1.857,77.3,81.3,14.0
Cal Poly,2002,1.462,77.2,80.5,13.0
Cal St. Fullerton,2002,1.583,76.6,80.0,12.0
Cal St. Northridge,2002,1.375,77.1,80.4,16.0
California,2002,1.571,77.2,81.2,14.0
Campbell,2002,1.833,76.1,78.6,12.0
Canisius,2002,1.462,76.3,79.3,13.0
Centenary,2002,1.385,76.9,79.7,13.0
Central Connecticut,2002,1.154,77.2,80.0,13.0
Central Michigan,2002,1.357,77.2,80.8,14.0
Charleston Southern,2002,1.692,77.5,80.2,13.0
Charlotte,2002,1.333,78.0,80.6,12.0
Chattanooga,2002,2.308,77.4,79.7,13.0
Chicago St.,2002,2.25,75.2,79.2,12.0
Cincinnati,2002,1.714,77.4,80.7,14.0
Clemson,2002,1.133,77.1,80.7,15.0
Cleveland St.,2002,1.2,77.3,81.8,15.0
