TEAM,YEAR,EXP,AVG HGT,n_players
Air Force,2003,1.931,,4
Air Force,2004,1.769,,4
Air Force,2005,1.865,,5
Air Force,2006,2.266,,4
Air Force,2007,2.792,,5
Akron,2003,1.777,,4
Akron,2004,3.0,,1
Akron,2005,1.0,,2
Akron,2006,1.961,,4
Akron,2007,2.428,,5
Alabama,2003,1.981,,3
Alabama,2004,1.685,,6
Alabama,2005,1.615,,5
Alabama,2006,1.448,,4
Alabama,2007,1.816,,5
Alabama A&M,2003,3.0,,1
Alabama A&M,2004,1.923,,2
Alabama A&M,2005,2.0,,2
Alabama A&M,2006,3.0,,2
Alabama A&M,2007,0.674,,3
Alabama State,2003,2.28,,4
Alabama State,2004,2.077,,3
Alabama State,2005,2.651,,3
Alabama State,2006,1.587,,2
Alabama State,2007,2.21,,4
Albany (NY),2003,1.775,,5
Albany (NY),2004,0.928,,5
Albany (NY),2005,1.647,,3
Albany (NY),2006,2.311,,5
Albany (NY),2007,2.55,,4
Alcorn State,2003,2.0,,2
Alcorn State,2004,1.431,,2
Alcorn State,2005,1.0,,1
Alcorn State,2006,2.0,,3
Alcorn State,2007,3.0,,1
American,2003,2.288,,5
American,2004,2.025,,5
American,2005,2.29,,3
American,2006,0.986,,2
American,2007,2.289,,3
Appalachian State,2003,3.0,,3
Appalachian State,2004,2.0,,2
Appalachian State,2005,1.938,,2
Appalachian State,2006,1.633,,5
Appalachian State,2007,2.764,,4
Arizona,2003,2.255,,5
Arizona,2004,1.202,,5
Arizona,2005,2.054,,5
Arizona,2006,1.781,,4
Arizona,2007,1.821,,5
Arizona State,2003,1.948,,3
Arizona State,2004,1.608,,3
Arizona State,2005,1.969,,5
Arizona State,2006,2.449,,2
Arizona State,2007,0.936,,6
Arkansas,2003,0.0,,1
Arkansas,2004,0.631,,3
Arkansas,2005,1.461,,2
Arkansas,2006,2.409,,5
Arkansas,2007,1.522,,5
Arkansas State,2003,2.659,,3
Arkansas State,2004,2.336,,3
Arkansas State,2005,3.0,,2
Arkansas State,2006,2.488,,4
Arkansas State,2007,1.595,,4
Arkansas–Pine Bluff,2003,2.0,,1
Arkansas–Pine Bluff,2005,1.263,,4
Arkansas–Pine Bluff,2006,2.005,,3
Arkansas–Pine Bluff,2007,2.0,,3
Army,2003,2.0,,1
Army,2004,0.0,,1
Army,2005,1.0,,2
Army,2006,2.0,,1
Army,2007,2.515,,2
Auburn,2003,2.034,,5
Auburn,2004,2.0,,3
Auburn,2005,1.903,,5
Auburn,2006,1.468,,2
Auburn,2007,1.241,,4
Austin Peay,2003,1.806,,5
Austin Peay,2004,2.79,,5
Austin Peay,2005,2.456,,4
Austin Peay,2006,2.432,,3
Austin Peay,2007,1.727,,4
Ball State,2003,2.082,,4
Ball State,2004,1.323,,3
Ball State,2005,1.961,,4
Ball State,2006,1.053,,2
Ball State,2007,1.977,,3
Baylor,2003,1.236,,4
Baylor,2004,2.17,,3
Baylor,2005,0.941,,4
Baylor,2007,1.016,,5
Belmont,2003,1.866,,5
Belmont,2004,1.877,,5
Belmont,2005,1.954,,3
Belmont,2006,1.527,,4
Belmont,2007,1.795,,4
Bethune-Cookman,2003,2.088,,4
Bethune-Cookman,2004,2.224,,5
Bethune-Cookman,2005,2.358,,3
Bethune-Cookman,2006,3.0,,3
Bethune-Cookman,2007,2.0,,3
Binghamton,2003,3.0,,2
Binghamton,2004,1.825,,4
Binghamton,2005,1.574,,2
Binghamton,2006,2.207,,4
Binghamton,2007,1.119,,2
Birmingham–Southern,2003,2.221,,4
Birmingham–Southern,2004,2.653,,3
Birmingham–Southern,2005,2.08,,4
Birmingham–Southern,2006,2.587,,5
Boise State,2003,1.983,,5
Boise State,2004,2.618,,5
Boise State,2005,2.16,,5
Boise State,2006,1.723,,3
Boise State,2007,2.506,,4
Boston College,2003,1.331,,5
Boston College,2004,1.0,,5
Boston College,2005,1.765,,5
Boston College,2006,2.176,,5
Boston College,2007,2.3,,3
Boston University,2003,1.804,,4
Boston University,2004,2.03,,4
Boston University,2005,2.334,,4
Boston University,2006,2.022,,4
Boston University,2007,1.124,,5
Bowling Green,2003,1.371,,5
Bowling Green,2004,1.735,,5
Bowling Green,2005,2.312,,4
Bowling Green,2006,2.318,,3
Bowling Green,2007,2.13,,3
Bradley,2003,2.0,,3
Bradley,2004,2.323,,3
Bradley,2005,1.03,,4
Bradley,2006,2.487,,4
Bradley,2007,2.536,,6
Brigham Young,2003,2.279,,4
Brigham Young,2004,2.746,,4
Brigham Young,2005,2.1,,2
Brigham Young,2006,1.631,,3
Brigham Young,2007,2.156,,5
Brown,2003,2.22,,4
Brown,2004,2.231,,4
Brown,2005,1.758,,3
Brown,2006,1.335,,3
Brown,2007,2.36,,3
Bucknell,2003,2.055,,3
Bucknell,2004,1.0,,2
Bucknell,2005,1.563,,4
Bucknell,2006,2.534,,4
Bucknell,2007,2.424,,5
Buffalo,2004,1.416,,3
Buffalo,2005,2.464,,5
Buffalo,2006,2.769,,4
Buffalo,2007,1.784,,5
Butler,2003,2.625,,5
Butler,2004,1.948,,4
Butler,2005,1.406,,5
Butler,2006,2.413,,5
Butler,2007,2.2,,5
Cal Poly,2003,2.667,,3
Cal Poly,2004,2.201,,4
Cal Poly,2006,1.512,,4
Cal Poly,2007,2.251,,4
Cal State Fullerton,2003,1.665,,3
Cal State Fullerton,2004,1.97,,3
Cal State Fullerton,2005,2.158,,5
Cal State Fullerton,2006,2.499,,4
Cal State Fullerton,2007,2.415,,5
Cal State Northridge,2003,2.016,,2
Cal State Northridge,2004,1.45,,3
Cal State Northridge,2005,3.0,,2
Cal State Northridge,2006,1.503,,2
Cal State Northridge,2007,1.667,,3
California,2003,1.85,,4
California,2004,0.758,,4
California,2005,2.0,,3
California,2006,1.68,,5
California,2007,1.502,,4
Campbell,2003,2.493,,2
Campbell,2004,0.0,,1
Campbell,2006,2.357,,3
Campbell,2007,1.881,,3
Canisius,2003,1.766,,4
Canisius,2004,1.924,,2
Canisius,2005,1.804,,4
Canisius,2006,2.518,,4
Canisius,2007,2.113,,4
Centenary (LA),2003,2.0,,3
Centenary (LA),2004,2.816,,5
Centenary (LA),2005,2.706,,3
Centenary (LA),2006,2.0,,1
Centenary (LA),2007,1.333,,4
Central Arkansas,2007,1.637,,5
Central Connecticut State,2003,1.676,,3
Central Connecticut State,2004,1.757,,3
Central Connecticut State,2005,1.972,,3
Central Connecticut State,2006,2.021,,6
Central Connecticut State,2007,2.263,,5
Central Florida,2003,2.63,,5
Central Florida,2004,2.753,,4
Central Florida,2005,2.266,,5
Central Florida,2006,2.204,,4
Central Florida,2007,2.209,,5
Central Michigan,2003,2.223,,5
Central Michigan,2004,2.309,,4
Central Michigan,2005,1.667,,3
Central Michigan,2006,1.024,,5
Central Michigan,2007,1.182,,2
Charleston Southern,2003,2.02,,4
Charleston Southern,2004,2.385,,3
Charleston Southern,2005,2.34,,3
Charleston Southern,2006,2.062,,2
Charleston Southern,2007,3.0,,2
Charlotte,2003,1.56,,4
Charlotte,2004,2.023,,4
Charlotte,2005,2.532,,4
Charlotte,2006,2.272,,4
Charlotte,2007,2.678,,3
Chattanooga,2003,2.244,,4
Chattanooga,2004,2.763,,4
Chattanooga,2005,2.293,,4
Chattanooga,2006,2.229,,4
Chattanooga,2007,2.593,,4
Chicago State,2003,0.986,,3
Chicago State,2004,2.322,,3
Chicago State,2005,1.626,,5
Chicago State,2006,1.028,,3
Chicago State,2007,2.014,,2
Cincinnati,2003,2.286,,4
