year,rank,name,school,rating
2004,1,Dwight Howard,,1.0000
2004,2,Shaun Livingston,,0.9993
2004,3,Al Jefferson,,0.9984
2004,4,Rudy Gay,,0.9977
2004,5,Josh Smith,,0.9976
2004,6,Marvin Williams,,0.9950
2004,7,Sebastian Telfair,,0.9950
2004,8,Robert Swift,,0.9949
2004,9,Randolph Morris,,0.9947
2004,10,Malik Hairston,,0.9942
2004,11,J.R. Smith,,0.9935
2004,12,Joe Crawford,,0.9923
2004,13,LaMarcus Aldridge,,0.9914
2004,14,D.J. White,,0.9906
2004,15,Glen Davis,,0.9900
2004,16,Rajon Rondo,,0.9881
2004,17,Jawann McClellan,,0.9880
2004,18,Daniel Gibson,,0.9863
2004,19,Corey Brewer,,0.9849
2004,20,Darius Washington Jr.,,0.9845
2004,21,Jordan Farmar,,0.9837
2004,22,Juan Palacios,,0.9836
2004,23,Mike Williams,,0.9836
2004,24,Josh Shipp,,0.9831
2004,24,Jackie Butler,,0.9831
2004,26,Demarcus Nelson,,0.9821
2004,27,A.J. Price,,0.9806
2004,28,Sasha Kaun,,0.9797
2004,29,Russell Robinson,,0.9791
2004,30,Marquise Gray,,0.9773
2004,31,Gabriel Pruitt,,0.9768
2004,32,Kyle Lowry,,0.9764
2004,33,Greg Stiemsma,,0.9760
2004,34,Arron Afflalo,,0.9748
2004,35,Jason Rich,,0.9744
2004,36,Cedric Simmons,,0.9743
2004,37,Rahshon Clark,,0.9735
2004,38,Roy Bright,,0.9724
2004,39,Glenn Miles,,0.9723
2004,40,Sean Singletary,,0.9718
2004,41,Ron Steele,,0.9716
2004,42,Steven Hill,,0.9716
2004,43,Chamberlain Oguchi,,0.9707
2004,44,Drew Neitzel,,0.9699
2004,45,Robert Vaden,,0.9693
2004,46,Brian Johnson,,0.9692
2004,47,Charles Thomas,,0.9686
2004,48,Davis Nwankwo,,0.9679
2004,49,Josh Wright,,0.9664
2004,50,Al Horford,,0.9652
