team,conf,composite_score,year,conf_rank,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score
Memphis,,97.66,2019,0,0,0,0,0,
Kentucky,,98.41,2019,0,0,0,0,0,
Duke,,99.27,2019,0,0,0,0,0,
Oregon,,95.12,2019,0,0,0,0,0,
Villanova,,95.6,2019,0,0,0,0,0,
Arizona,,97.02,2019,0,0,0,0,0,
USC,,94.53,2019,0,0,0,0,0,
Florida,,94.34,2019,0,0,0,0,0,
North Carolina,,96.83,2019,0,0,0,0,0,
Washington,,96.07,2019,0,0,0,0,0,
Georgia,,94.3,2019,0,0,0,0,0,
Louisville,,95.22,2019,0,0,0,0,0,
Gonzaga,,95.79,2019,0,0,0,0,0,
Ohio State,,95.47,2019,0,0,0,0,0,
Kansas,,95.82,2019,0,0,0,0,0,
Texas Tech,,90.23,2019,0,0,0,0,0,
Texas,,98.03,2019,0,0,0,0,0,
UConn,,62.45,2019,0,0,0,0,0,
Florida State,,91.86,2019,0,0,0,0,0,
Auburn,,91.18,2019,0,0,0,0,0,
Alabama,,93.21,2019,0,0,0,0,0,
West Virginia,,91.3,2019,0,0,0,0,0,
Virginia,,92.32,2019,0,0,0,0,0,
Oklahoma State,,92.88,2019,0,0,0,0,0,
Xavier,,93.35,2019,0,0,0,0,0,
Oklahoma,,89.59,2019,0,0,0,0,0,
Michigan State,,95.01,2019,0,0,0,0,0,
Tennessee,,92.01,2019,0,0,0,0,0,
Maryland,,91.75,2019,0,0,0,0,0,
TCU,,91.57,2019,0,0,0,0,0,
Miami,,94.62,2019,0,0,0,0,0,
LSU,,91.32,2019,0,0,0,0,0,
Syracuse,,90.96,2019,0,0,0,0,0,
DePaul,,91.24,2019,0,0,0,0,0,
Texas A&M,,89.93,2019,0,0,0,0,0,
NC State,,92.59,2019,0,0,0,0,0,
Minnesota,,90.42,2019,0,0,0,0,0,
Harvard,,88.69,2019,0,0,0,0,0,
Arizona State,,89.43,2019,0,0,0,0,0,
Missouri,,92.5,2019,0,0,0,0,0,
Wichita State,,89.4,2019,0,0,0,0,0,
Ole Miss,,89.65,2019,0,0,0,0,0,
Clemson,,91.79,2019,0,0,0,0,0,
Cincinnati,,91.55,2019,0,0,0,0,0,
South Carolina,,88.82,2019,0,0,0,0,0,
Utah,,88.84,2019,0,0,0,0,0,
Virginia Tech,,88.43,2019,0,0,0,0,0,
Vanderbilt,,89.37,2019,0,0,0,0,0,
Pittsburgh,,88.62,2019,0,0,0,0,0,
VCU,,90.45,2019,0,0,0,0,0,
Load More,,47.94,2019,0,0,0,0,0,
Tyran Stokes,,,2019,0,0,0,0,0,
Cameron Williams,,,2019,0,0,0,0,0,
Jordan Smith,,,2019,0,0,0,0,0,
Caleb Holt,,,2019,0,0,0,0,0,
Dylan Mingo,,,2019,0,0,0,0,0,
Christian Collins,,,2019,0,0,0,0,0,
Jason Crowe Jr.,,,2019,0,0,0,0,0,
Bruce Branch III,,,2019,0,0,0,0,0,
Anthony Thompson,,,2019,0,0,0,0,0,
Deron Rippey Jr.,,,2019,0,0,0,0,0,
Memphis,,96.64,2021,0,0,0,0,0,
Kentucky,,99.33,2021,0,0,0,0,0,
Michigan,,96.99,2021,0,0,0,0,0,
Gonzaga,,99.0,2021,0,0,0,0,0,
Tennessee,,94.05,2021,0,0,0,0,0,
Duke,,98.35,2021,0,0,0,0,0,
UConn,,97.23,2021,0,0,0,0,0,
LSU,,94.65,2021,0,0,0,0,0,
Creighton,,96.39,2021,0,0,0,0,0,
Florida State,,95.54,2021,0,0,0,0,0,
Kansas,,96.31,2021,0,0,0,0,0,
Michigan State,,98.29,2021,0,0,0,0,0,
Colorado,,93.44,2021,0,0,0,0,0,
Alabama,,97.64,2021,0,0,0,0,0,
Baylor,,97.43,2021,0,0,0,0,0,
Georgetown,,93.46,2021,0,0,0,0,0,
Louisville,,93.43,2021,0,0,0,0,0,
Nebraska,,90.82,2021,0,0,0,0,0,
Marquette,,92.88,2021,0,0,0,0,0,
North Carolina,,95.84,2021,0,0,0,0,0,
Dayton,,92.67,2021,0,0,0,0,0,
Stanford,,94.27,2021,0,0,0,0,0,
Villanova,,94.78,2021,0,0,0,0,0,
Illinois,,95.68,2021,0,0,0,0,0,
Miami,,95.3,2021,0,0,0,0,0,
NC State,,94.56,2021,0,0,0,0,0,
Texas A&M,,93.78,2021,0,0,0,0,0,
Arizona State,,90.58,2021,0,0,0,0,0,
Georgia Tech,,93.31,2021,0,0,0,0,0,
Seton Hall,,93.58,2021,0,0,0,0,0,
Houston,,91.74,2021,0,0,0,0,0,
Wisconsin,,92.32,2021,0,0,0,0,0,
Ole Miss,,90.62,2021,0,0,0,0,0,
SMU,,90.33,2021,0,0,0,0,0,
South Carolina,,92.29,2021,0,0,0,0,0,
Northwestern,,93.03,2021,0,0,0,0,0,
UCLA,,98.73,2021,0,0,0,0,0,
Oklahoma,,90.04,2021,0,0,0,0,0,
Indiana,,98.05,2021,0,0,0,0,0,
USC,,91.9,2021,0,0,0,0,0,
Purdue,,97.96,2021,0,0,0,0,0,
Mississippi State,,92.02,2021,0,0,0,0,0,
Vanderbilt,,91.39,2021,0,0,0,0,0,
Wake Forest,,91.02,2021,0,0,0,0,0,
Maryland,,96.06,2021,0,0,0,0,0,
West Virginia,,89.55,2021,0,0,0,0,0,
Clemson,,90.88,2021,0,0,0,0,0,
Missouri,,87.89,2021,0,0,0,0,0,
Ohio State,,95.18,2021,0,0,0,0,0,
Washington,,95.29,2021,0,0,0,0,0,
Load More,,45.9,2021,0,0,0,0,0,
Tyran Stokes,,,2021,0,0,0,0,0,
Cameron Williams,,,2021,0,0,0,0,0,
Jordan Smith,,,2021,0,0,0,0,0,
Caleb Holt,,,2021,0,0,0,0,0,
Dylan Mingo,,,2021,0,0,0,0,0,
Christian Collins,,,2021,0,0,0,0,0,
Jason Crowe Jr.,,,2021,0,0,0,0,0,
Bruce Branch III,,,2021,0,0,0,0,0,
Anthony Thompson,,,2021,0,0,0,0,0,
Deron Rippey Jr.,,,2021,0,0,0,0,0,
Duke,,98.3,2022,0,0,0,0,0,
Arkansas,,97.74,2022,0,0,0,0,0,
Kentucky,,97.48,2022,0,0,0,0,0,
Alabama,,96.0,2022,0,0,0,0,0,
Kansas,,98.73,2022,0,0,0,0,0,
Texas,,96.11,2022,0,0,0,0,0,
USC,,97.02,2022,0,0,0,0,0,
Ohio State,,95.13,2022,0,0,0,0,0,
Tennessee,,94.43,2022,0,0,0,0,0,
Indiana,,96.14,2022,0,0,0,0,0,
Illinois,,97.2,2022,0,0,0,0,0,
Michigan,,96.98,2022,0,0,0,0,0,
UCLA,,99.1,2022,0,0,0,0,0,
Virginia,,96.59,2022,0,0,0,0,0,
Florida State,,92.73,2022,0,0,0,0,0,
Texas Tech,,94.86,2022,0,0,0,0,0,
LSU,,93.79,2022,0,0,0,0,0,
North Carolina,,97.79,2022,0,0,0,0,0,
Villanova,,97.32,2022,0,0,0,0,0,
Auburn,,97.01,2022,0,0,0,0,0,
Syracuse,,92.28,2022,0,0,0,0,0,
Notre Dame,,96.47,2022,0,0,0,0,0,
Miami,,93.34,2022,0,0,0,0,0,
Vanderbilt,,91.77,2022,0,0,0,0,0,
Ole Miss,,92.57,2022,0,0,0,0,0,
Louisville,,93.1,2022,0,0,0,0,0,
Penn State,,90.61,2022,0,0,0,0,0,
Virginia Tech,,93.08,2022,0,0,0,0,0,
Houston,,99.07,2022,0,0,0,0,0,
Purdue,,92.81,2022,0,0,0,0,0,
South Carolina,,91.8,2022,0,0,0,0,0,
Clemson,,90.59,2022,0,0,0,0,0,
Boston College,,91.59,2022,0,0,0,0,0,
Nebraska,,89.48,2022,0,0,0,0,0,
Cincinnati,,91.3,2022,0,0,0,0,0,
Michigan State,,97.31,2022,0,0,0,0,0,
Xavier,,97.21,2022,0,0,0,0,0,
Oklahoma,,97.21,2022,0,0,0,0,0,
Missouri,,90.9,2022,0,0,0,0,0,
Iowa State,,91.57,2022,0,0,0,0,0,
Arizona,,96.79,2022,0,0,0,0,0,
Baylor,,95.95,2022,0,0,0,0,0,
Minnesota,,88.75,2022,0,0,0,0,0,
Washington,,90.04,2022,0,0,0,0,0,
Seton Hall,,90.23,2022,0,0,0,0,0,
VCU,,94.99,2022,0,0,0,0,0,
Florida,,94.68,2022,0,0,0,0,0,
NC State,,94.14,2022,0,0,0,0,0,
Oregon,,93.52,2022,0,0,0,0,0,
West Virginia,,88.33,2022,0,0,0,0,0,
Load More,,42.88,2022,0,0,0,0,0,
Tyran Stokes,,,2022,0,0,0,0,0,
Cameron Williams,,,2022,0,0,0,0,0,
Jordan Smith,,,2022,0,0,0,0,0,
Caleb Holt,,,2022,0,0,0,0,0,
Dylan Mingo,,,2022,0,0,0,0,0,
Christian Collins,,,2022,0,0,0,0,0,
Jason Crowe Jr.,,,2022,0,0,0,0,0,
Bruce Branch III,,,2022,0,0,0,0,0,
Anthony Thompson,,,2022,0,0,0,0,0,
Deron Rippey Jr.,,,2022,0,0,0,0,0,
Kentucky,,96.64,2023,0,0,0,0,0,
Duke,,99.34,2023,0,0,0,0,0,
UConn,,97.03,2023,0,0,0,0,0,
Michigan State,,97.81,2023,0,0,0,0,0,
Louisville,,97.61,2023,0,0,0,0,0,
Iowa State,,95.33,2023,0,0,0,0,0,
Ohio State,,96.13,2023,0,0,0,0,0,
USC,,99.11,2023,0,0,0,0,0,
Kansas,,96.62,2023,0,0,0,0,0,
Oklahoma State,,93.89,2023,0,0,0,0,0,
Oregon,,99.11,2023,0,0,0,0,0,
Baylor,,98.89,2023,0,0,0,0,0,
UCLA,,96.33,2023,0,0,0,0,0,
Memphis,,95.91,2023,0,0,0,0,0,
Georgia,,96.04,2023,0,0,0,0,0,
Alabama,,95.78,2023,0,0,0,0,0,
Xavier,,94.3,2023,0,0,0,0,0,
Indiana,,96.62,2023,0,0,0,0,0,
Maryland,,96.55,2023,0,0,0,0,0,
Virginia,,92.64,2023,0,0,0,0,0,
Tennessee,,96.15,2023,0,0,0,0,0,
Pittsburgh,,93.01,2023,0,0,0,0,0,
Kansas State,,95.76,2023,0,0,0,0,0,
Houston,,95.41,2023,0,0,0,0,0,
Colorado,,94.29,2023,0,0,0,0,0,
Notre Dame,,92.2,2023,0,0,0,0,0,
Missouri,,94.33,2023,0,0,0,0,0,
Marquette,,93.63,2023,0,0,0,0,0,
Illinois,,92.94,2023,0,0,0,0,0,
Arkansas,,98.76,2023,0,0,0,0,0,
Iowa,,92.48,2023,0,0,0,0,0,
North Carolina,,98.45,2023,0,0,0,0,0,
Stanford,,98.52,2023,0,0,0,0,0,
Wisconsin,,91.67,2023,0,0,0,0,0,
Cincinnati,,97.39,2023,0,0,0,0,0,
Mississippi State,,88.4,2023,0,0,0,0,0,
Vanderbilt,,89.32,2023,0,0,0,0,0,
Oklahoma,,96.45,2023,0,0,0,0,0,
Texas A&M,,91.13,2023,0,0,0,0,0,
St. John's,,95.51,2023,0,0,0,0,0,
New Mexico,,95.21,2023,0,0,0,0,0,
Providence,,93.44,2023,0,0,0,0,0,
Texas,,93.25,2023,0,0,0,0,0,
Wake Forest,,93.72,2023,0,0,0,0,0,
Georgetown,,93.72,2023,0,0,0,0,0,
Miami,,88.33,2023,0,0,0,0,0,
Saint Joseph's,,88.25,2023,0,0,0,0,0,
Rutgers,,92.31,2023,0,0,0,0,0,
Arizona State,,92.88,2023,0,0,0,0,0,
LSU,,92.61,2023,0,0,0,0,0,
Load More,,41.04,2023,0,0,0,0,0,
Tyran Stokes,,,2023,0,0,0,0,0,
Cameron Williams,,,2023,0,0,0,0,0,
Jordan Smith,,,2023,0,0,0,0,0,
Caleb Holt,,,2023,0,0,0,0,0,
Dylan Mingo,,,2023,0,0,0,0,0,
Christian Collins,,,2023,0,0,0,0,0,
Jason Crowe Jr.,,,2023,0,0,0,0,0,
Bruce Branch III,,,2023,0,0,0,0,0,
Anthony Thompson,,,2023,0,0,0,0,0,
Deron Rippey Jr.,,,2023,0,0,0,0,0,
Duke,,99.4,2024,0,0,0,0,0,
Alabama,,98.95,2024,0,0,0,0,0,
Arkansas,,97.03,2024,0,0,0,0,0,
Rutgers,,94.8,2024,0,0,0,0,0,
Missouri,,96.11,2024,0,0,0,0,0,
Baylor,,98.99,2024,0,0,0,0,0,
Miami,,94.76,2024,0,0,0,0,0,
North Carolina,,98.6,2024,0,0,0,0,0,
Arizona State,,98.61,2024,0,0,0,0,0,
Georgia,,93.89,2024,0,0,0,0,0,
UConn,,98.37,2024,0,0,0,0,0,
Georgetown,,95.02,2024,0,0,0,0,0,
BYU,,94.49,2024,0,0,0,0,0,
LSU,,97.51,2024,0,0,0,0,0,
Illinois,,95.93,2024,0,0,0,0,0,
Michigan State,,96.0,2024,0,0,0,0,0,
Texas,,94.8,2024,0,0,0,0,0,
TCU,,93.07,2024,0,0,0,0,0,
Purdue,,91.09,2024,0,0,0,0,0,
Georgia Tech,,95.87,2024,0,0,0,0,0,
Florida State,,92.58,2024,0,0,0,0,0,
Creighton,,94.95,2024,0,0,0,0,0,
NC State,,95.05,2024,0,0,0,0,0,
Villanova,,94.28,2024,0,0,0,0,0,
Saint Mary's,,94.36,2024,0,0,0,0,0,
Clemson,,94.6,2024,0,0,0,0,0,
Oklahoma,,93.51,2024,0,0,0,0,0,
Notre Dame,,93.68,2024,0,0,0,0,0,
Colorado,,93.7,2024,0,0,0,0,0,
Penn State,,90.24,2024,0,0,0,0,0,
Kansas,,98.99,2024,0,0,0,0,0,
Michigan,,92.6,2024,0,0,0,0,0,
Texas A&M,,92.63,2024,0,0,0,0,0,
Auburn,,98.22,2024,0,0,0,0,0,
Arizona,,97.81,2024,0,0,0,0,0,
Syracuse,,97.62,2024,0,0,0,0,0,
USC,,97.79,2024,0,0,0,0,0,
Cincinnati,,97.69,2024,0,0,0,0,0,
Virginia Tech,,91.42,2024,0,0,0,0,0,
Grand Canyon,,91.17,2024,0,0,0,0,0,
Tulane,,90.51,2024,0,0,0,0,0,
Washington,,96.63,2024,0,0,0,0,0,
Houston,,96.76,2024,0,0,0,0,0,
UCLA,,96.48,2024,0,0,0,0,0,
Utah,,90.48,2024,0,0,0,0,0,
Marquette,,96.44,2024,0,0,0,0,0,
St. John's,,95.96,2024,0,0,0,0,0,
Maryland,,95.71,2024,0,0,0,0,0,
Kentucky,,95.99,2024,0,0,0,0,0,
Mississippi State,,90.18,2024,0,0,0,0,0,
Load More,,46.86,2024,0,0,0,0,0,
Tyran Stokes,,,2024,0,0,0,0,0,
Cameron Williams,,,2024,0,0,0,0,0,
Jordan Smith,,,2024,0,0,0,0,0,
Caleb Holt,,,2024,0,0,0,0,0,
Dylan Mingo,,,2024,0,0,0,0,0,
Christian Collins,,,2024,0,0,0,0,0,
Jason Crowe Jr.,,,2024,0,0,0,0,0,
Bruce Branch III,,,2024,0,0,0,0,0,
Anthony Thompson,,,2024,0,0,0,0,0,
Deron Rippey Jr.,,,2024,0,0,0,0,0,
Duke,,99.16,2025,0,0,0,0,0,
Arizona,,94.09,2025,0,0,0,0,0,
Houston,,97.74,2025,0,0,0,0,0,
Arkansas,,96.07,2025,0,0,0,0,0,
North Carolina,,97.01,2025,0,0,0,0,0,
SMU,,96.53,2025,0,0,0,0,0,
Kentucky,,96.67,2025,0,0,0,0,0,
Tennessee,,95.12,2025,0,0,0,0,0,
Kansas,,93.88,2025,0,0,0,0,0,
Alabama,,97.11,2025,0,0,0,0,0,
UConn,,95.48,2025,0,0,0,0,0,
Ole Miss,,96.27,2025,0,0,0,0,0,
Notre Dame,,96.08,2025,0,0,0,0,0,
Auburn,,94.02,2025,0,0,0,0,0,
Washington,,94.3,2025,0,0,0,0,0,
Miami,,91.0,2025,0,0,0,0,0,
Syracuse,,92.14,2025,0,0,0,0,0,
BYU,,97.64,2025,0,0,0,0,0,
Mississippi State,,95.03,2025,0,0,0,0,0,
Marquette,,94.66,2025,0,0,0,0,0,
Baylor,,93.54,2025,0,0,0,0,0,
Penn State,,91.27,2025,0,0,0,0,0,
LSU,,94.71,2025,0,0,0,0,0,
Iowa State,,93.81,2025,0,0,0,0,0,
Louisville,,93.67,2025,0,0,0,0,0,
Virginia,,94.08,2025,0,0,0,0,0,
Butler,,94.49,2025,0,0,0,0,0,
Georgia,,94.69,2025,0,0,0,0,0,
Michigan,,94.13,2025,0,0,0,0,0,
Northwestern,,91.36,2025,0,0,0,0,0,
Georgia Tech,,91.31,2025,0,0,0,0,0,
Stanford,,92.68,2025,0,0,0,0,0,
Wisconsin,,92.44,2025,0,0,0,0,0,
Illinois,,92.58,2025,0,0,0,0,0,
Rutgers,,90.65,2025,0,0,0,0,0,
Texas,,93.89,2025,0,0,0,0,0,
Clemson,,91.77,2025,0,0,0,0,0,
South Florida,,91.4,2025,0,0,0,0,0,
Virginia Tech,,90.23,2025,0,0,0,0,0,
Maryland,,92.46,2025,0,0,0,0,0,
South Carolina,,89.49,2025,0,0,0,0,0,
Oklahoma,,91.34,2025,0,0,0,0,0,
Villanova,,91.76,2025,0,0,0,0,0,
USC,,98.98,2025,0,0,0,0,0,
Iowa,,92.07,2025,0,0,0,0,0,
Ohio State,,91.86,2025,0,0,0,0,0,
Florida,,98.55,2025,0,0,0,0,0,
