year,rank,name,school,rating
2003,1,LeBron James,,1.0000
2003,2,Luol Deng,,0.9993
2003,3,Ndudi Ebi,,0.9984
2003,4,Shannon Brown,,0.9976
2003,5,David Padgett,,0.9973
2003,6,Kendrick Perkins,,0.9965
2003,7,Charlie Villanueva,,0.9962
2003,8,Leon Powe,,0.9947
2003,9,Chris Paul,,0.9933
2003,10,Brian Butch,,0.9933
2003,11,Mustafa Shakur,,0.9932
2003,12,James Lang,,0.9930
2003,13,Brandon Bass,,0.9914
2003,14,Blake Adams,,0.9907
2003,14,Linas Kleiza,,0.9907
2003,16,Andrew Lavender,,0.9900
2003,17,Travis Outlaw,,0.9895
2003,18,Von Wafer,,0.9889
2003,19,Kris Humphries,,0.9886
2003,20,Trevor Ariza,,0.9875
2003,21,Olu Famutimi,,0.9874
2003,22,J.R. Giddens,,0.9863
2003,23,Mike Jones,,0.9856
2003,24,Dion Harris,,0.9835
2003,25,Darryl Watkins,,0.9833
2003,26,Regis Koundjia,,0.9827
2003,27,Demetris Nichols,,0.9826
2003,28,Marquis Kately,,0.9819
2003,29,Sean Banks,,0.9811
2003,30,Brandon Cotton,,0.9811
2003,31,Richard McBride,,0.9788
2003,32,Rodrick Stewart,,0.9780
2003,33,Martin Iti,,0.9777
2003,34,Tack Minor,,0.9759
2003,35,Ronnie Brewer,,0.9757
2003,36,Aaron Brooks,,0.9752
2003,37,Dameon Mason,,0.9731
2003,38,Gary Ervin,,0.9729
2003,39,Thomas Gardner,,0.9725
2003,40,Courtney Sims,,0.9718
2003,41,Ekene Ibekwe,,0.9708
2003,42,Terrence Roberts,,0.9706
2003,43,Chris Richard,,0.9694
2003,44,Mohamed Abukar,,0.9689
2003,45,Ivan Harris,,0.9680
2003,46,Chris Taft,,0.9677
2003,47,Cartier Martin,,0.9654
2003,48,Lodrick Stewart,,0.9651
2003,49,Ayinde Ubaka,,0.9634
2003,50,Dwight Brewington,,0.9627
2004,1,Dwight Howard,,1.0000
2004,2,Shaun Livingston,,0.9993
2004,3,Al Jefferson,,0.9984
2004,4,Rudy Gay,,0.9977
2004,5,Josh Smith,,0.9976
2004,6,Marvin Williams,,0.9950
2004,7,Sebastian Telfair,,0.9950
2004,8,Robert Swift,,0.9949
2004,9,Randolph Morris,,0.9947
2004,10,Malik Hairston,,0.9942
2004,11,J.R. Smith,,0.9935
2004,12,Joe Crawford,,0.9923
2004,13,LaMarcus Aldridge,,0.9914
2004,14,D.J. White,,0.9906
2004,15,Glen Davis,,0.9900
2004,16,Rajon Rondo,,0.9881
2004,17,Jawann McClellan,,0.9880
2004,18,Daniel Gibson,,0.9863
2004,19,Corey Brewer,,0.9849
2004,20,Darius Washington Jr.,,0.9845
2004,21,Jordan Farmar,,0.9837
2004,22,Juan Palacios,,0.9836
2004,23,Mike Williams,,0.9836
2004,24,Josh Shipp,,0.9831
2004,24,Jackie Butler,,0.9831
2004,26,Demarcus Nelson,,0.9821
2004,27,A.J. Price,,0.9806
2004,28,Sasha Kaun,,0.9797
2004,29,Russell Robinson,,0.9791
2004,30,Marquise Gray,,0.9773
2004,31,Gabriel Pruitt,,0.9768
2004,32,Kyle Lowry,,0.9764
2004,33,Greg Stiemsma,,0.9760
2004,34,Arron Afflalo,,0.9748
2004,35,Jason Rich,,0.9744
2004,36,Cedric Simmons,,0.9743
2004,37,Rahshon Clark,,0.9735
2004,38,Roy Bright,,0.9724
2004,39,Glenn Miles,,0.9723
2004,40,Sean Singletary,,0.9718
2004,41,Ron Steele,,0.9716
2004,42,Steven Hill,,0.9716
2004,43,Chamberlain Oguchi,,0.9707
2004,44,Drew Neitzel,,0.9699
2004,45,Robert Vaden,,0.9693
2004,46,Brian Johnson,,0.9692
2004,47,Charles Thomas,,0.9686
2004,48,Davis Nwankwo,,0.9679
2004,49,Josh Wright,,0.9664
2004,50,Al Horford,,0.9652
2005,1,Josh McRoberts,,0.9998
2005,2,Gerald Green,,0.9995
2005,3,Monta Ellis,,0.9986
2005,4,Martell Webster,,0.9977
2005,5,Andray Blatche,,0.9969
2005,6,Lou Williams,,0.9968
2005,7,Tyler Hansbrough,,0.9952
2005,8,Julian Wright,,0.9951
2005,9,Andrew Bynum,,0.9950
2005,10,Richard Hendrix,,0.9933
2005,11,C.J. Miles,,0.9918
2005,12,Keith Brumbaugh,,0.9908
2005,13,Tasmin Mitchell,,0.9906
2005,14,Greg Paulus,,0.9894
2005,15,Mario Chalmers,,0.9887
2005,16,Amir Johnson,,0.9883
2005,17,Magnum Rolle,,0.9865
2005,18,Lewis Clinch,,0.9857
2005,19,Byron Eaton,,0.9857
2005,20,Bryan Harvey,,0.9855
2005,21,Shawne Williams,,0.9851
2005,22,Brandon Costner,,0.9846
2005,23,Micah Downs,,0.9840
2005,24,Jon Brockman,,0.9832
2005,25,Gary Flowers,,0.9831
2005,26,Danny Green,,0.9824
2005,27,Jamont Gordon,,0.9813
2005,28,Rashad Woods,,0.9811
2005,29,Courtney Fells,,0.9807
2005,30,Ben Allen,,0.9807
2005,31,Artem Wallace,,0.9803
2005,32,J.P. Prince,,0.9798
2005,33,Austin Johnson,,0.9791
2005,34,Joe Krabbenhoft,,0.9784
2005,35,Eric Devendorf,,0.9783
2005,36,Korvotney Barber,,0.9776
2005,37,Alonzo Gee,,0.9769
2005,38,Austin Jackson,,0.9751
2005,39,Tyler Smith,,0.9742
2005,40,Mike Mercer,,0.9741
2005,41,Dior Lowhorn,,0.9735
2005,42,Devan Downey,,0.9733
2005,43,Jessie Sapp,,0.9727
2005,44,Ryan Ayers,,0.9723
2005,45,Roderick Flemings,,0.9723
2005,46,Vernon Goodridge,,0.9711
2005,47,Luke Zeller,,0.9707
2005,48,Marcus Williams,,0.9698
2005,49,Bobby Frasor,,0.9698
2005,50,Antonio Anderson,,0.9682
2006,1,Greg Oden,,1.0000
2006,2,Kevin Durant,,0.9993
2006,3,Brandan Wright,,0.9986
2006,4,Spencer Hawes,,0.9975
2006,5,Thaddeus Young,,0.9967
2006,6,Ty Lawson,,0.9964
2006,7,Chase Budinger,,0.9959
2006,8,Henry Walker,,0.9958
2006,9,Wayne Ellington,,0.9956
2006,10,Paul Harris,,0.9932
2006,11,Brook Lopez,,0.9931
2006,12,Darrell Arthur,,0.9929
2006,13,Javaris Crittenton,,0.9922
2006,14,Daequan Cook,,0.9915
2006,15,Gerald Henderson,,0.9909
2006,16,Sherron Collins,,0.9904
2006,17,Damion James,,0.9877
2006,18,Stanley Robinson,,0.9863
2006,19,DaJuan Summers,,0.9850
2006,20,Vernon Macklin,,0.9847
2006,21,Robin Lopez,,0.9845
2006,22,Earl Clark,,0.9842
2006,23,Obi Muonelo,,0.9838
2006,24,Lance Thomas,,0.9832
2006,25,Tyler Smith,,0.9831
2006,26,Derrick Caracter,,0.9831
2006,27,Quincy Pondexter,,0.9830
2006,28,Mike Conley,,0.9829
2006,29,Greivis Vasquez,,0.9819
2006,30,Duke Crews,,0.9818
2006,31,DeShawn Sims,,0.9783
2006,32,David Lighty,,0.9778
2006,33,Curtis Kelly,,0.9776
2006,34,Raymar Morgan,,0.9769
2006,35,Brian Zoubek,,0.9767
2006,36,Jon Scheyer,,0.9763
2006,37,D.J. Augustin,,0.9762
2006,38,James Keefe,,0.9755
2006,39,Daniel Hackett,,0.9739
2006,40,Hamady N'diaye,,0.9731
2006,41,Ramar Smith,,0.9730
2006,42,Jeremy Mayfield,,0.9727
2006,43,Mike Jones,,0.9720
2006,44,Lazar Hayward,,0.9711
2006,45,Antonio Pena,,0.9703
2006,46,Jodie Meeks,,0.9701
2006,47,Willie Kemp,,0.9699
2006,48,Jason Bennett,,0.9694
2006,49,Scottie Reynolds,,0.9688
2006,50,Jerome Dyson,,0.9685
2007,1,O.J. Mayo,,0.9994
2007,2,Eric Gordon,,0.9994
2007,3,Michael Beasley,,0.9991
2007,4,Kevin Love,,0.9991
2007,5,Derrick Rose,,0.9988
2007,6,Kyle Singler,,0.9985
2007,7,Donte Greene,,0.9962
2007,8,Nick Calathes,,0.9961
2007,9,Austin Freeman,,0.9956
2007,10,Patrick Patterson,,0.9955
2007,11,J.J. Hickson,,0.9951
2007,12,DeAndre Jordan,,0.9950
2007,13,Kosta Koufos,,0.9950
2007,14,James Harden,,0.9935
2007,15,Anthony Randolph,,0.9933
2007,16,Blake Griffin,,0.9932
2007,17,Jerryd Bayless,,0.9931
2007,18,Jonny Flynn,,0.9921
2007,19,Gani Lawal,,0.9914
2007,20,Mac Koshwal,,0.9912
2007,21,James Anderson,,0.9910
2007,22,Nolan Smith,,0.9910
2007,23,Corey Fisher,,0.9907
2007,24,Solomon Alabi,,0.9901
2007,25,Corey Stokes,,0.9900
2007,26,E'Twaun Moore,,0.9898
2007,27,Cole Aldrich,,0.9898
2007,28,Jamelle Horne,,0.9888
2007,29,Chandler Parsons,,0.9886
2007,30,Craig Brackins,,0.9884
2007,31,Kalin Lucas,,0.9866
2007,32,DeJuan Blair,,0.9866
2007,33,Jai Lucas,,0.9865
2007,34,Austin Daye,,0.9864
2007,35,Alex Legion,,0.9861
2007,36,Taylor King,,0.9861
2007,37,Corperryale Harris,,0.9861
2007,38,Jeff Robinson,,0.9857
2007,39,Senario Hillman,,0.9855
2007,40,Durrell Summers,,0.9850
2007,41,LaceDarius Dunn,,0.9849
2007,42,Gary Johnson,,0.9843
2007,43,JaJuan Johnson,,0.9839
2007,44,Chris Wright,,0.9837
2007,45,Chris Allen,,0.9836
2007,46,Darquavis Tucker,,0.9836
2007,47,Evan Turner,,0.9805
2007,48,Justin Burrell,,0.9799
2007,49,Scott Martin,,0.9795
2007,50,Jon Diebler,,0.9792
2008,1,Brandon Jennings,,0.9996
2008,2,B.J. Mullens,,0.9989
2008,3,Jrue Holiday,,0.9985
2008,4,Samardo Samuels,,0.9985
2008,5,Tyreke Evans,,0.9978
2008,6,DeMar DeRozan,,0.9973
2008,7,Scotty Hopson,,0.9966
2008,8,Greg Monroe,,0.9946
2008,9,Ed Davis,,0.9940
2008,10,Al-Farouq Aminu,,0.9934
2008,11,Kemba Walker,,0.9931
2008,12,Delvon Roe,,0.9920
2008,13,William Buford,,0.9920
2008,14,Willie Warren,,0.9917
2008,15,JaMychal Green,,0.9904
2008,16,Tyler Zeller,,0.9883
2008,17,DeQuan Jones,,0.9870
2008,18,Luke Babbitt,,0.9869
2008,19,J'Mison Morgan,,0.9866
2008,20,Michael Dunigan,,0.9851
2008,21,Iman Shumpert,,0.9851
2008,22,Ater Majok,,0.9840
2008,23,Ty Walker,,0.9834
2008,24,Devin Ebanks,,0.9826
2008,25,Yancy Gates,,0.9822
2008,26,Eloy Vargas,,0.9814
2008,27,Kenny Kadji,,0.9813
2008,28,Jerime Anderson,,0.9797
2008,29,Jeff Withey,,0.9792
2008,30,Henry Sims,,0.9791
2008,31,Tony Woods,,0.9787
2008,32,Jeff Taylor,,0.9784
2008,33,DeAndre Liggins,,0.9780
2008,34,Drew Gordon,,0.9777
2008,35,Malcolm Lee,,0.9777
2008,36,Anthony Jones,,0.9773
2008,37,Kevin Jones,,0.9773
2008,38,Mike Rosario,,0.9770
2008,39,Sylven Landesberg,,0.9748
2008,40,Sean Mosley,,0.9740
2008,41,Klay Thompson,,0.9727
2008,42,Elliot Williams,,0.9726
2008,43,Kenny Frease,,0.9725
2008,44,Wesley Witherspoon,,0.9722
2008,45,John Brandenburg,,0.9712
2008,46,Cashmere Wright,,0.9712
2008,47,Mookie Jones,,0.9702
2008,48,Dashan Harris,,0.9700
2008,49,Xavier Gibson,,0.9693
2008,50,Ray Shipman,,0.9686
2009,1,Derrick Favors,,0.9997
2009,2,John Wall,,0.9992
2009,3,DeMarcus Cousins,,0.9989
2009,4,Avery Bradley,,0.9983
2009,5,John Henson,,0.9979
2009,6,Xavier Henry,,0.9972
2009,7,Wally Judge,,0.9961
2009,8,Renardo Sidney,,0.9953
2009,9,Lance Stephenson,,0.9951
2009,10,Keith Gallon,,0.9944
2009,11,Mouphtaou Yarou,,0.9942
2009,12,Jordan Hamilton,,0.9942
2009,13,Abdul Gaddy,,0.9939
2009,14,Kenny Boynton,,0.9929
2009,15,Michael Snaer,,0.9928
2009,16,Ryan Kelly,,0.9920
2009,17,Dante Taylor,,0.9915
2009,18,Chris Singleton,,0.9911
2009,19,Daniel Orton,,0.9905
2009,20,Alex Oriakhi,,0.9888
2009,21,Dominic Cheek,,0.9870
2009,22,Milton Jennings,,0.9866
2009,23,Mason Plumlee,,0.9860
2009,24,Maalik Wayns,,0.9858
2009,25,Elijah Johnson,,0.9845
2009,26,Naji Hibbert,,0.9842
2009,27,Tyler Honeycutt,,0.9841
2009,28,Thomas Robinson,,0.9839
2009,29,Royce White,,0.9834
2009,30,Lorenzo Brown,,0.9830
2009,31,Durand Scott,,0.9830
2009,32,Tommy Mason-Griffin,,0.9827
2009,33,John Jenkins,,0.9824
2009,34,Raymond Penn,,0.9820
2009,35,Dexter Strickland,,0.9819
2009,36,Mfon Udofia,,0.9802
2009,37,Peyton Siva,,0.9798
2009,38,Aaric Murray,,0.9789
2009,39,Zeke Marshall,,0.9762
2009,40,Christian Watford,,0.9751
2009,41,Aaron Dotson,,0.9750
2009,42,Jamil Wilson,,0.9744
2009,43,Tony Mitchell,,0.9740
2009,44,Eric Bledsoe,,0.9738
2009,45,Lamont Jones,,0.9731
2009,46,Ari Stewart,,0.9730
2009,47,"Glen Rice, Jr.",,0.9712
2009,48,Solomon Hill,,0.9711
2009,49,Rodney Williams,,0.9711
2009,50,Latavious Williams,,0.9710
2010,1,Harrison Barnes,,0.9999
2010,2,Kyrie Irving,,0.9990
2010,3,Jared Sullinger,,0.9983
2010,4,Josh Selby,,0.9982
2010,5,Brandon Knight,,0.9973
2010,6,Tobias Harris,,0.9966
2010,7,Enes Kanter,,0.9964
2010,8,Perry Jones,,0.9956
2010,9,Terrence Jones,,0.9951
2010,10,Tristan Thompson,,0.9938
2010,11,C.J. Leslie,,0.9938
2010,12,Will Barton,,0.9931
2010,13,Cory Joseph,,0.9930
2010,14,Fabricio de Melo,,0.9925
2010,15,Reggie Bullock,,0.9918
2010,16,Patric Young,,0.9905
2010,17,Tony Mitchell,,0.9902
2010,18,Deshaun Thomas,,0.9884
2010,19,Joe Jackson,,0.9881
2010,20,Adreian Payne,,0.9878
2010,21,Josh Smith,,0.9874
2010,22,Jelan Kendrick,,0.9869
2010,23,Dion Waiters,,0.9859
2010,24,Lorenzo Brown,,0.9855
2010,25,Ray McCallum,,0.9855
2010,26,Ryan Harrow,,0.9853
2010,27,Doron Lamb,,0.9851
2010,28,Meyers Leonard,,0.9848
2010,29,Kendall Marshall,,0.9841
2010,30,Jereme Richmond,,0.9829
2010,31,Vander Blue,,0.9825
2010,32,Terrence Ross,,0.9821
2010,33,Ian Miller,,0.9811
2010,34,Roscoe Smith,,0.9811
2010,35,Josh Hairston,,0.9799
2010,36,Cameron Clark,,0.9793
2010,37,Dwight Powell,,0.9786
2010,38,Keith Appling,,0.9773
2010,39,Jordan McRae,,0.9773
2010,40,Trey Zeigler,,0.9770
2010,41,Tyler Lamb,,0.9761
2010,42,Cory Jefferson,,0.9752
2010,43,Gerard Coleman,,0.9750
2010,44,KT Harrell,,0.9744
2010,45,Nate Lubick,,0.9731
2010,46,Jordan Sibert,,0.9708
2010,47,Phil Pressey,,0.9692
2010,48,Gorgui Dieng,,0.9686
2010,49,Dominique Ferguson,,0.9684
2010,50,Okaro White,,0.9684
2011,1,Anthony Davis,,0.9999
2011,2,Austin Rivers,,0.9991
2011,3,Michael Kidd-Gilchrist,,0.9982
2011,4,Quincy Miller,,0.9977
2011,5,Bradley Beal,,0.9975
2011,6,James Michael McAdoo,,0.9972
2011,7,Marquis Teague,,0.9967
2011,8,LeBryan Nash,,0.9959
2011,9,Adonis Thomas,,0.9948
2011,10,Cody Zeller,,0.9935
2011,11,Kentavious Caldwell-Pope,,0.9933
2011,12,Josiah Turner,,0.9928
2011,13,Myck Kabongo,,0.9928
2011,14,Khem Birch,,0.9923
2011,15,P.J. Hairston,,0.9914
2011,16,Branden Dawson,,0.9911
2011,17,Jabari Brown,,0.9904
2011,18,Tony Wroten,,0.9898
2011,19,Rakeem Christmas,,0.9886
2011,20,B.J. Young,,0.9886
2011,21,Kyle Wiltjer,,0.9886
2011,22,Chane Behanan,,0.9881
2011,23,Wayne Blackshear,,0.9874
2011,24,Dorian Finney-Smith,,0.9873
2011,25,Nick Johnson,,0.9870
2011,26,DeAndre Daniels,,0.9867
2011,27,Rodney Hood,,0.9853
2011,28,Michael Carter-Williams,,0.9851
2011,29,Michael Gbinije,,0.9851
2011,30,Levi Randolph,,0.9830
2011,31,Otto Porter,,0.9824
2011,32,Jahii Carson,,0.9817
2011,33,Shannon Scott,,0.9811
2011,34,Quinn Cook,,0.9807
2011,35,Sir'Dominic Pointer,,0.9798
2011,36,Adjehi Baru,,0.9780
2011,37,Johnny O'Bryant,,0.9777
2011,38,Maurice Harkless,,0.9773
2011,39,Rashad Madden,,0.9772
2011,40,Alex Murphy,,0.9769
2011,41,LaQuinton Ross,,0.9759
2011,42,Ben McLemore,,0.9756
2011,43,Sheldon McClellan,,0.9756
2011,44,Nick Faust,,0.9753
2011,45,Dai-Jon Parker,,0.9752
2011,46,Trevor Lacey,,0.9744
2011,47,Sam Thompson,,0.9743
2011,48,Jamal Branch,,0.9728
2011,49,D'Angelo Harrison,,0.9724
2011,50,Amir Williams,,0.9715
2012,1,Nerlens Noel,,0.9999
2012,2,Shabazz Muhammad,,0.9996
2012,3,Isaiah Austin,,0.9986
2012,4,Kyle Anderson,,0.9985
2012,5,Steven Adams,,0.9979
2012,6,Anthony Bennett,,0.9963
2012,7,Kaleb Tarczewski,,0.9962
